('freq_pun', 10, 219, 55, 0.6545454545454545)
('freq_word_nb_punctuation', 10, 219, 55, 0.5636363636363636)
('freq_length_sen', 10, 219, 55, 0.6)
('normalised_tran_mat', 10, 219, 55, 0.07272727272727272)
('freq_pun', 50, 1064, 267, 0.3857677902621723)
('freq_word_nb_punctuation', 50, 1064, 267, 0.21722846441947566)
('freq_length_sen', 50, 1064, 267, 0.2846441947565543)
('normalised_tran_mat', 50, 1064, 267, 0.03745318352059925)
('freq_pun', 100, 1588, 397, 0.4105793450881612)
('freq_word_nb_punctuation', 100, 1588, 397, 0.2795969773299748)
('freq_length_sen', 100, 1588, 397, 0.21662468513853905)
('normalised_tran_mat', 100, 1588, 397, 0.012594458438287154)
('freq_pun', 200, 3905, 977, 0.27840327533265097)
('freq_word_nb_punctuation', 200, 3905, 977, 0.17707267144319344)
('freq_length_sen', 200, 3905, 977, 0.15762538382804503)
('normalised_tran_mat', 200, 3905, 977, 0.0020470829068577278)
('freq_pun', 400, 7880, 1970, 0.23908629441624366)
('freq_word_nb_punctuation', 400, 7880, 1970, 0.16142131979695432)
('freq_pun', 10, 219, 55, 0.6545454545454545)
('freq_word_nb_punctuation', 10, 219, 55, 0.5636363636363636)
('freq_length_sen', 10, 219, 55, 0.6)
('normalised_tran_mat', 10, 219, 55, 0.07272727272727272)
('freq_pun', 50, 1064, 267, 0.3857677902621723)
('freq_word_nb_punctuation', 50, 1064, 267, 0.21722846441947566)
('freq_pun', 10, 219, 55, 0.6545454545454545)
('freq_word_nb_punctuation', 10, 219, 55, 0.5636363636363636)
('freq_length_sen', 10, 219, 55, 0.6)
('normalised_tran_mat', 10, 219, 55, 0.07272727272727272)
('freq_pun', 50, 1064, 267, 0.3857677902621723)
('freq_word_nb_punctuation', 50, 1064, 267, 0.21722846441947566)
('freq_length_sen', 50, 1064, 267, 0.2846441947565543)
('normalised_tran_mat', 50, 1064, 267, 0.03745318352059925)
('freq_pun', 100, 1588, 397, 0.4105793450881612)
('freq_word_nb_punctuation', 100, 1588, 397, 0.2795969773299748)
('freq_length_sen', 100, 1588, 397, 0.21662468513853905)
('normalised_tran_mat', 100, 1588, 397, 0.012594458438287154)
('freq_pun', 200, 3905, 977, 0.27840327533265097)
('freq_word_nb_punctuation', 200, 3905, 977, 0.17707267144319344)
('freq_length_sen', 200, 3905, 977, 0.15762538382804503)
('normalised_tran_mat', 200, 3905, 977, 0.0020470829068577278)
('freq_pun', 400, 7880, 1970, 0.23908629441624366)
('freq_word_nb_punctuation', 400, 7880, 1970, 0.16142131979695432)
('freq_length_sen', 400, 7880, 1970, 0.13857868020304567)
('normalised_tran_mat', 400, 7880, 1970, 0.0005076142131979696)
('freq_pun', 651, 11957, 2990, 0.21237458193979933)
('freq_word_nb_punctuation', 651, 11957, 2990, 0.13645484949832776)
('freq_word_nb_punctuation', 651, 11957, 2990, 0.13645484949832776)
('freq_pun', 10, 219, 55, 0.6545454545454545)
('freq_word_nb_punctuation', 10, 219, 55, 0.5636363636363636)
('freq_length_sen', 10, 219, 55, 0.6)
('normalised_tran_mat', 10, 219, 55, 0.07272727272727272)
('freq_pun', 50, 1064, 267, 0.3857677902621723)
('freq_word_nb_punctuation', 50, 1064, 267, 0.21722846441947566)
('freq_length_sen', 50, 1064, 267, 0.2846441947565543)
('normalised_tran_mat', 50, 1064, 267, 0.03745318352059925)
('freq_pun', 100, 1588, 397, 0.4105793450881612)
('freq_word_nb_punctuation', 100, 1588, 397, 0.2795969773299748)
('freq_length_sen', 100, 1588, 397, 0.21662468513853905)
('normalised_tran_mat', 100, 1588, 397, 0.012594458438287154)
('freq_pun', 200, 3905, 977, 0.27840327533265097)
('freq_word_nb_punctuation', 200, 3905, 977, 0.17707267144319344)
('freq_length_sen', 200, 3905, 977, 0.15762538382804503)
('normalised_tran_mat', 200, 3905, 977, 0.0020470829068577278)
('freq_pun', 400, 7880, 1970, 0.23908629441624366)
('freq_word_nb_punctuation', 400, 7880, 1970, 0.16142131979695432)
('freq_length_sen', 400, 7880, 1970, 0.13857868020304567)
('normalised_tran_mat', 400, 7880, 1970, 0.0005076142131979696)
('freq_pun', 651, 11957, 2990, 0.21237458193979933)
('freq_word_nb_punctuation', 651, 11957, 2990, 0.13645484949832776)
